item_id,agenda_item_title,found_data_sheet,application_number,applicant,agent,architect,owner,matched_dev_applications_row,dev_app_street
2024.NY10.5,3 Swift Drive - Zoning By-law Amendment and Rental Housing Demolition Applications - Decision Report - Approval,True,,"Republic Developments 100 King St W, Suite 5700 Toronto, ON M5X 1C7","IBI Group 7th Fl 55 St Clair Ave W Toronto, ON M4V 2Y7","IBI Group Architects 7th Fl 55 St Clair Ave W Toronto, ON M4V 2Y7","2724471 ONTARIO INC. 5830 Campuc Rd, Suite 100, Mississauga, ON L4V 1G2",False,
2024.NY11.2,72 Church Avenue - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,True,19 221984 NNY 18 OZ,THE BIGLIERI GROUP,Mark Jacob,Taes Architect Inc,XIAO JING WANG,True,72 CHURCH AVE
2024.NY11.6,"1053 Don Mills Road, 2, 4, 4R, and 6 The Donway East Zoning By-law Amendment, Plan of Subdivision, and Site Plan Applications - Appeal Report",True,,"THE DONWAY EAST LIMITED 181 EGLINTON AVE EAST, SUITE 204, TORONTO ON, M4P 1J4","BOUSFIELDS INC. 3 CHURCH STREET, SUITE 200, TORONTO ON, M5E 1M2","BDP. QUADRANGLE 901 KING STREET WEST, SUITE 701 TORONTO, ON M5V 3H5","THE DONWAY EAST LIMITED 181 EGLINTON AVE E, SUITE 204, TORONTO ON, M4P 1J4",False,
2024.NY13.3,"824 Sheppard Avenue West, 177, 179 and 181 Cocksfield Avenue - Zoning Amendment  and Rental Housing Demolition and Conversion Application - Decision Report - Approval",True,23 171271 NNY 06 OZ,BOUSFIELDS INC,,Architecture Unfolded,ACLP-SHEPPARD AVENUE GP INC.,True,824 SHEPPARD AVE
2024.NY15.3,155 Antibes Drive - Zoning By-law Amendment Application - Decision Report - Approval,True,21 234538 NNY 06 OZ,URBAN STRATEGIES INC,,,ZAGJO HOLDINGS LIMITED,True,155 ANTIBES DR
2024.NY15.4,1875 Steeles Avenue West - Zoning By-law Amendment and Rental Housing Demolition and Conversion Applications - Decision Report - Approval,True,20 213392 NNY 06 OZ,TENBLOCK,BOUSFIELDS,KIRKOR,TENBLOCK,True,1875 STEELES AVE
2024.NY18.12,230 and 240 The Donway West - Official Plan Amendment and Zoning Amendment Application - Decision Report - Approval,True,22 124524 NNY 16 OZ,DONWAY CO- OPERATIVE DEVELOPMENT CORP.,DONWAY CO- OPERATIVE DEVELOPMENT CORP.,ARCHITECTURE UNFOLDED,UNITED CHURCH CANADA,True,230 THE DONWAY
2024.PB15.10,"49 and 51 Yonge Street - Alterations to Heritage Properties, Demolition of Heritage Attributes and Authority to Enter into a Heritage Easement Agreement",False,,,,,,False,
2024.PB15.11,"625 Yonge Street (Including 627, 629, 631, 633, 635 and 637 Yonge Street and 1, 3 and 5 Isabella Street) - Alterations to a Heritage Property and Authority to Enter into a Heritage Easement Agreement",False,,,,,,False,
2024.PB15.13,1779-1787 Bayview Avenue - Official Plan and Zoning By-law Amendment and Site Plan Control Applications - Heritage Matters,False,,,,,,False,
